Disease,Description
Orthorexia Nervosa,Orthorexia Nervosa is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Urinary Tract Infection (UTI),"Urinary Tract Infection (UTI) is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Placenta Previa,Placenta Previa is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acute Pancreatitis,Acute Pancreatitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Gum Disease,Gum Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Panic Attack,Panic Attack is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Lice,Lice is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pyloric stenosis,Pyloric stenosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pigmentary Glaucoma,"Pigmentary Glaucoma is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Abscess,Abscess is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Myositis,Myositis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Von Willebrand Disease,Von Willebrand Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Gastroparesis,Gastroparesis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chancroid,Chancroid is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Fungal Infection of the Skin,"Fungal Infection of the Skin is a dermatological condition affecting skin structure, function, or appearance, potentially involving inflammation, infection, or abnormal cell growth."
Stimulant Use Disorder,Stimulant Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chronic Fatigue Syndrome,Chronic Fatigue Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Threatened Pregnancy,"Threatened Pregnancy is a pregnancy-related condition that can affect maternal or fetal health during gestation, labor, or the postpartum period."
Chronic Glaucoma,"Chronic Glaucoma is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Urticaria (Hives),Urticaria (Hives) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Vitreous Hemorrhage,Vitreous Hemorrhage is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Binge Eating Disorder,Binge Eating Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hypercholesterolemia,Hypercholesterolemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Stress Incontinence,Stress Incontinence is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Labyrinthitis,Labyrinthitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Dysthymic Disorder,Dysthymic Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Ethylene glycol poisoning-1,"Ethylene glycol poisoning-1 is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Impulse Control Disorder,Impulse Control Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Intracranial Hemorrhage,Intracranial Hemorrhage is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Postpartum Depression,"Postpartum Depression is a mental health disorder affecting mood, thinking, behavior, or emotional regulation, potentially impairing daily functioning and quality of life."
Injury to the Leg,"Injury to the Leg is a traumatic condition resulting from external force or violence, causing structural damage to tissues, organs, or body systems."
Stroke,"Stroke is a neurological disorder affecting the central or peripheral nervous system, potentially impairing motor, sensory, or cognitive function."
Huntington Disease,Huntington Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Mononucleosis,Mononucleosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hallucinogen Use Disorder,Hallucinogen Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Ependymoma,Ependymoma is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Lymphoma,Lymphoma is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Urinary Tract Infection (UTI),"Urinary Tract Infection (UTI) is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Transient ischemic attack,Transient ischemic attack is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Normal-Tension Glaucoma,"Normal-Tension Glaucoma is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Thyroid Disease,Thyroid Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bladder Cancer,"Bladder Cancer is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Fracture of the Arm,"Fracture of the Arm is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Mucocele,Mucocele is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Kidney Failure,"Kidney Failure is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Chagas Disease,Chagas Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Leukemia,Leukemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Vesicoureteral Reflux,Vesicoureteral Reflux is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Endometriosis,Endometriosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Infection of Open Wound,"Infection of Open Wound is an infectious disease caused by pathogenic microorganisms, potentially causing local or systemic inflammation and tissue damage."
Anemia,Anemia is a condition where the body lacks enough healthy red blood cells or hemoglobin to carry adequate oxygen to tissues.
Spondylosis,Spondylosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acute Otitis Media,Acute Otitis Media is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Fracture,"Fracture is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Round Ligament Pain,Round Ligament Pain is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Autism,Autism is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pleomorphic adenoma,Pleomorphic adenoma is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Otosclerosis,Otosclerosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bulimia Nervosa,Bulimia Nervosa is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Poisoning due to Analgesics,"Poisoning due to Analgesics is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Pseudohypoparathyroidism,Pseudohypoparathyroidism is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Dermatitis due to Sun Exposure,"Dermatitis due to Sun Exposure is a dermatological condition affecting skin structure, function, or appearance, potentially involving inflammation, infection, or abnormal cell growth."
Anemia due to Malignancy,"Anemia due to Malignancy is a hematological disorder affecting blood cells, hemostasis, or blood circulation, potentially causing bleeding, clotting, or oxygen transport problems."
Hyperhidrosis,Hyperhidrosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Otitis Media,Otitis Media is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Benign Kidney Cyst,"Benign Kidney Cyst is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Pain after an Operation,Pain after an Operation is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chronic Knee Pain,Chronic Knee Pain is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Volvulus,Volvulus is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Scurvy,Scurvy is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Urinary Stones (Kidney Stones),"Urinary Stones (Kidney Stones) is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Injury to the Finger,"Injury to the Finger is a traumatic condition resulting from external force or violence, causing structural damage to tissues, organs, or body systems."
Retinal Detachment,"Retinal Detachment is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Chronic Rheumatic Fever,Chronic Rheumatic Fever is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Acute Bronchospasm,"Acute Bronchospasm is a respiratory disorder affecting the lungs, airways, or breathing mechanism, potentially impairing gas exchange and oxygenation."
Vulvodynia,Vulvodynia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Other Specified Feeding or Eating Disorder (OSFED),Other Specified Feeding or Eating Disorder (OSFED) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Anemia due to Chronic Kidney Disease,"Anemia due to Chronic Kidney Disease is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Pemphigus,Pemphigus is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Syphilis,Syphilis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Omphalitis,Omphalitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Idiopathic Nonmenstrual Bleeding,"Idiopathic Nonmenstrual Bleeding is a hematological disorder affecting blood cells, hemostasis, or blood circulation, potentially causing bleeding, clotting, or oxygen transport problems."
Myofascial Pain Syndrome,Myofascial Pain Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Vocal cord polyp,Vocal cord polyp is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Rotator Cuff Injury,"Rotator Cuff Injury is a traumatic condition resulting from external force or violence, causing structural damage to tissues, organs, or body systems."
Fibromyalgia,Fibromyalgia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hypercalcemia,Hypercalcemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Secondary Glaucoma,"Secondary Glaucoma is an ophthalmological condition affecting the eye's structure or visual function, potentially causing vision impairment or blindness."
Acute Sinusitis,Acute Sinusitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Polycystic Ovarian Syndrome,Polycystic Ovarian Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Complex Regional Pain Syndrome (CRPS),Complex Regional Pain Syndrome (CRPS) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Optic Neuritis,Optic Neuritis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Adrenal Cancer,"Adrenal Cancer is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Intracranial Abscess,Intracranial Abscess is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Adenoid cystic carcinoma,Adenoid cystic carcinoma is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Fracture of the Patella,"Fracture of the Patella is a musculoskeletal disorder affecting bones, joints, muscles, or connective tissues, potentially impairing movement and structural integrity."
Restless Leg Syndrome,Restless Leg Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Cold Sore,Cold Sore is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chronic Kidney Disease,"Chronic Kidney Disease is a urological condition affecting the structure or function of the kidneys, ureters, bladder, or urethra, potentially impairing waste elimination and fluid balance."
Goiter,Goiter is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Type 1 Diabetes,"Type 1 Diabetes is a metabolic disorder characterized by elevated blood glucose levels due to defects in insulin secretion, insulin action, or both, potentially leading to serious complications affecting multiple organ systems."
Dislocation of the Elbow,Dislocation of the Elbow is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Rabies,Rabies is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Contact Dermatitis,"Contact Dermatitis is a dermatological condition affecting skin structure, function, or appearance, potentially involving inflammation, infection, or abnormal cell growth."
Hemophilia,Hemophilia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Open Wound from Surgical Incision,Open Wound from Surgical Incision is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Chronic Migraine,Chronic Migraine is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hyperkalemia,Hyperkalemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Fibromyalgia,Fibromyalgia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Bipolar Disorder,Bipolar disorder is a mental health condition causing extreme mood swings between emotional highs (mania) and lows (depression).
Sedatives Poisoning,"Sedatives Poisoning is a toxicological condition resulting from exposure to harmful substances, potentially causing cellular damage and organ dysfunction."
Plantar Fasciitis,Plantar Fasciitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Priapism,Priapism is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Gestational Hypertension,"Gestational Hypertension is a pregnancy-related condition that can affect maternal or fetal health during gestation, labor, or the postpartum period."
Pyelonephritis,Pyelonephritis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Drug Abuse (Cocaine),Drug Abuse (Cocaine) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Gout,Gout is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Narcolepsy,Narcolepsy is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Submandibular stones,Submandibular stones is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Dental Caries,Dental Caries is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Vitamin B12 Deficiency,Vitamin B12 Deficiency is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Testicular Cancer,Testicular Cancer is a malignant neoplasm characterized by uncontrolled cell growth and potential metastasis to distant organs.
Peyronie Disease,Peyronie Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hepatitis due to a Toxin,"Hepatitis due to a Toxin is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Foreign Body in the Throat,Foreign Body in the Throat is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Stenosis of the Tear Duct,Stenosis of the Tear Duct is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Lateral Epicondylitis (Tennis Elbow),Lateral Epicondylitis (Tennis Elbow) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Attention Deficit Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder (ADHD) is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Tuberous Sclerosis,Tuberous Sclerosis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pulmonic Valve Disease,Pulmonic Valve Disease is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Pelvic Organ Prolapse,Pelvic Organ Prolapse is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
"Sedative, Hypnotic, or Anxiolytic Use Disorder","Sedative, Hypnotic, or Anxiolytic Use Disorder is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings."
Atrial Fibrillation,Atrial Fibrillation is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Asthma,"Asthma is a respiratory condition where airways narrow and swell, producing extra mucus, making breathing difficult and triggering coughing, wheezing, and shortness of breath."
Edward Syndrome,Edward Syndrome is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
West Nile Virus,West Nile Virus is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Obesity,Obesity is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Sialolithiasis,Sialolithiasis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hyperopia,Hyperopia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Liver Cancer,"Liver Cancer is a hepatic condition affecting liver structure or function, potentially impairing the liver's ability to detoxify, synthesize proteins, and produce bile."
Chalazion,Chalazion is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Hypocalcemia,Hypocalcemia is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
Viral Warts,"Viral Warts is an infectious disease caused by pathogenic microorganisms, potentially causing local or systemic inflammation and tissue damage."
Spondylitis,Spondylitis is a medical condition requiring professional diagnosis and appropriate treatment based on clinical presentation and diagnostic findings.
