Disease,Diet
Coagulation (Bleeding) Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Idiopathic Absence of Menstruation,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Migraine,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Temporomandibular Joint Disorder,"['Bone-Healthy Diet', 'Calcium-rich foods', 'Vitamin D sources', 'Anti-inflammatory foods', 'Protein-rich foods']"
Vitamin A Deficiency,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Glucocorticoid Deficiency,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Astigmatism,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Low-Tension Glaucoma,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Headache after lumbar puncture,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Flat Feet,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Carbon Monoxide Poisoning,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Orbital Cellulitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pulmonary Eosinophilia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Antimicrobial Drugs Poisoning,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Eczema,"['Skin-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'Hydration']"
Pneumonia,"['Respiratory-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Fruits and vegetables', 'Hydration']"
Intestinal Malabsorption,"['Digestive-Friendly Diet', 'Bland foods', 'Probiotics', 'Fiber-rich foods', 'Hydration']"
Conductive Hearing Loss,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pinworm Infection,"['Immune-Boosting Diet', 'Protein-rich foods', 'Vitamin C sources', 'Probiotics', 'Hydration']"
Esophageal Varices,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Dermatitis due to Sun Exposure,"['Skin-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'Hydration']"
Gonorrhea,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Chronic Sinusitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Concussion,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Parathyroid Adenoma,"['Hormone-Balancing Diet', 'Iodine-rich foods', 'Selenium sources', 'Whole foods', 'Anti-inflammatory foods']"
Herpangina,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Conversion Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Lymphedema,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hirschsprung Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Rheumatoid Arthritis,"['Bone-Healthy Diet', 'Calcium-rich foods', 'Vitamin D sources', 'Anti-inflammatory foods', 'Protein-rich foods']"
Turner syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Sciatica,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Endophthalmitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Myelodysplastic Syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Premature Ventricular Contractions (PVCs),"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Ludwig's angina,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Cryptococcosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Diabetic Kidney Disease,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Premenstrual Tension Syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Drug Abuse (Methamphetamine),"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Urge Incontinence,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Dengue Fever,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Lead Poisoning,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Actinic Keratosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Choledocholithiasis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Head and Neck Cancer,"['Cancer-Fighting Diet', 'Antioxidant-rich foods', 'Cruciferous vegetables', 'Lean proteins', 'Whole grains']"
Sjögren's syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Peritonitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Anemia of Chronic Disease,"['Blood-Healthy Diet', 'Iron-rich foods', 'Vitamin K sources', 'Folate-rich foods', 'Protein-rich foods']"
Ovarian Torsion,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Sciatica,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Lupus,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Neonatal Jaundice,"['Liver-Healthy Diet', 'Low-fat foods', 'High-protein diet', 'Fruits and vegetables', 'Whole grains']"
Gastrointestinal Hemorrhage,"['Digestive-Friendly Diet', 'Bland foods', 'Probiotics', 'Fiber-rich foods', 'Hydration']"
Dislocation of the Ankle,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Vaginal Cyst,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Orthorexia Nervosa,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Urinary Tract Infection (UTI),"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Placenta Previa,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Acute Pancreatitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Gum Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Panic Attack,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Lice,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pyloric stenosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pigmentary Glaucoma,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Abscess,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Myositis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Von Willebrand Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Gastroparesis,"['Digestive-Friendly Diet', 'Bland foods', 'Probiotics', 'Fiber-rich foods', 'Hydration']"
Chancroid,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Fungal Infection of the Skin,"['Skin-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'Hydration']"
Stimulant Use Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Chronic Fatigue Syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Threatened Pregnancy,"['Pregnancy Diet', 'Folic acid sources', 'Iron-rich foods', 'Calcium sources', 'Prenatal nutrition']"
Chronic Glaucoma,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Urticaria (Hives),"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Vitreous Hemorrhage,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Binge Eating Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Hypercholesterolemia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Stress Incontinence,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Labyrinthitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Dysthymic Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Ethylene glycol poisoning-1,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Impulse Control Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Intracranial Hemorrhage,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Postpartum Depression,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Injury to the Leg,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Stroke,"['Brain-Healthy Diet', 'Omega-3 rich foods', 'Antioxidants', 'Mediterranean diet', 'Low-sodium foods']"
Huntington Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Mononucleosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hallucinogen Use Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Ependymoma,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Lymphoma,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Urinary Tract Infection (UTI),"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Transient ischemic attack,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Normal-Tension Glaucoma,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Thyroid Disease,"['Hormone-Balancing Diet', 'Iodine-rich foods', 'Selenium sources', 'Whole foods', 'Anti-inflammatory foods']"
Bladder Cancer,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Fracture of the Arm,"['Bone-Healthy Diet', 'Calcium-rich foods', 'Vitamin D sources', 'Anti-inflammatory foods', 'Protein-rich foods']"
Mucocele,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Kidney Failure,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Chagas Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Leukemia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Vesicoureteral Reflux,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Endometriosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Psoriasis,"['Skin-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'Hydration']"
Infection of Open Wound,"['Immune-Boosting Diet', 'Protein-rich foods', 'Vitamin C sources', 'Probiotics', 'Hydration']"
Anemia,"['Blood-Healthy Diet', 'Iron-rich foods', 'Vitamin K sources', 'Folate-rich foods', 'Protein-rich foods']"
Spondylosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Acute Otitis Media,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Fracture,"['Bone-Healthy Diet', 'Calcium-rich foods', 'Vitamin D sources', 'Anti-inflammatory foods', 'Protein-rich foods']"
Round Ligament Pain,"['Anti-Inflammatory Diet', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Antioxidant-rich foods']"
Autism,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Pleomorphic adenoma,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Otosclerosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Bulimia Nervosa,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Poisoning due to Analgesics,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pseudohypoparathyroidism,"['Hormone-Balancing Diet', 'Iodine-rich foods', 'Selenium sources', 'Whole foods', 'Anti-inflammatory foods']"
Dermatitis due to Sun Exposure,"['Skin-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'Hydration']"
Anemia due to Malignancy,"['Blood-Healthy Diet', 'Iron-rich foods', 'Vitamin K sources', 'Folate-rich foods', 'Protein-rich foods']"
Hyperhidrosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Otitis Media,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Benign Kidney Cyst,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Pain after an Operation,"['Anti-Inflammatory Diet', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Antioxidant-rich foods']"
Chronic Knee Pain,"['Anti-Inflammatory Diet', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Antioxidant-rich foods']"
Volvulus,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Scurvy,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Urinary Stones (Kidney Stones),"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Injury to the Finger,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Retinal Detachment,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Chronic Rheumatic Fever,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Acute Bronchospasm,"['Respiratory-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Fruits and vegetables', 'Hydration']"
Vulvodynia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Other Specified Feeding or Eating Disorder (OSFED),"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Anemia due to Chronic Kidney Disease,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Pemphigus,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Syphilis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Omphalitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Idiopathic Nonmenstrual Bleeding,"['Blood-Healthy Diet', 'Iron-rich foods', 'Vitamin K sources', 'Folate-rich foods', 'Protein-rich foods']"
Myofascial Pain Syndrome,"['Anti-Inflammatory Diet', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Antioxidant-rich foods']"
Vocal cord polyp,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Rotator Cuff Injury,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Fibromyalgia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hypercalcemia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Secondary Glaucoma,"['Eye-Healthy Diet', 'Vitamin A sources', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'Lutein-rich foods']"
Drug Reaction,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Acute Sinusitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Polycystic Ovarian Syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Complex Regional Pain Syndrome (CRPS),"['Anti-Inflammatory Diet', 'Omega-3 rich foods', 'Turmeric', 'Ginger', 'Antioxidant-rich foods']"
Optic Neuritis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Adrenal Cancer,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Intracranial Abscess,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Adenoid cystic carcinoma,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Fracture of the Patella,"['Bone-Healthy Diet', 'Calcium-rich foods', 'Vitamin D sources', 'Anti-inflammatory foods', 'Protein-rich foods']"
Restless Leg Syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Cold Sore,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Chronic Kidney Disease,"['Kidney-Friendly Diet', 'Low-sodium foods', 'Hydration', 'Cranberry juice', 'Low-protein diet']"
Goiter,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Type 1 Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Complex carbohydrates']"
Dislocation of the Elbow,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Rabies,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Contact Dermatitis,"['Skin-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Antioxidant-rich foods', 'Hydration']"
Hemophilia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Open Wound from Surgical Incision,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Chronic Migraine,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hyperkalemia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Fibromyalgia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Bipolar Disorder,"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Sedatives Poisoning,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Migraine,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Plantar Fasciitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Priapism,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Gestational Hypertension,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Pyelonephritis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Drug Abuse (Cocaine),"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Gout,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Narcolepsy,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Submandibular stones,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Dental Caries,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Vitamin B12 Deficiency,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Testicular Cancer,"['Cancer-Fighting Diet', 'Antioxidant-rich foods', 'Cruciferous vegetables', 'Lean proteins', 'Whole grains']"
Peyronie Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hepatitis due to a Toxin,"['Liver-Healthy Diet', 'Low-fat foods', 'High-protein diet', 'Fruits and vegetables', 'Whole grains']"
Foreign Body in the Throat,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Stenosis of the Tear Duct,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Lateral Epicondylitis (Tennis Elbow),"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Attention Deficit Hyperactivity Disorder (ADHD),"['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Tuberous Sclerosis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pulmonic Valve Disease,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Pelvic Organ Prolapse,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
"Sedative, Hypnotic, or Anxiolytic Use Disorder","['Mental Health Diet', 'Omega-3 rich foods', 'Complex carbohydrates', 'Protein-rich foods', 'B-vitamin sources']"
Atrial Fibrillation,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Asthma,"['Respiratory-Healthy Diet', 'Anti-inflammatory foods', 'Omega-3 rich foods', 'Fruits and vegetables', 'Hydration']"
Edward Syndrome,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
West Nile Virus,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Obesity,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hypertension,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']"
Sialolithiasis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hyperopia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Liver Cancer,"['Liver-Healthy Diet', 'Low-fat foods', 'High-protein diet', 'Fruits and vegetables', 'Whole grains']"
Chalazion,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Hypocalcemia,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
Viral Warts,"['Immune-Boosting Diet', 'Protein-rich foods', 'Vitamin C sources', 'Probiotics', 'Hydration']"
Spondylitis,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
